name,type_1,type_2
Bulbasaur,Grass,Poison
Ivysaur,Grass,Poison
Venusaur,Grass,Poison
Mega Venusaur,Grass,Poison
Charmander,Fire,
Charmeleon,Fire,
Charizard,Fire,Flying
Mega Charizard X,Fire,Dragon
Mega Charizard Y,Fire,Flying
Squirtle,Water,
Wartortle,Water,
Blastoise,Water,
Mega Blastoise,Water,
Caterpie,Bug,
Metapod,Bug,
Butterfree,Bug,Flying
Weedle,Bug,Poison
Kakuna,Bug,Poison
Beedrill,Bug,Poison
Mega Beedrill,Bug,Poison
Pidgey,Normal,Flying
Pidgeotto,Normal,Flying
Pidgeot,Normal,Flying
Mega Pidgeot,Normal,Flying
Rattata,Normal,
Alolan Rattata,Dark,Normal
Raticate,Normal,
Alolan Raticate,Dark,Normal
Spearow,Normal,Flying
Fearow,Normal,Flying
Ekans,Poison,
Arbok,Poison,
Pikachu,Electric,
Partner Pikachu,Electric,
Raichu,Electric,
Alolan Raichu,Electric,Psychic
Sandshrew,Ground,
Alolan Sandshrew,Ice,Steel
Sandslash,Ground,
Alolan Sandslash,Ice,Steel
Nidoran♀,Poison,
Nidorina,Poison,
Nidoqueen,Poison,Ground
Nidoran♂,Poison,
Nidorino,Poison,
Nidoking,Poison,Ground
Clefairy,Fairy,
Clefable,Fairy,
Vulpix,Fire,
Alolan Vulpix,Ice,
Ninetales,Fire,
Alolan Ninetales,Ice,Fairy
Jigglypuff,Normal,Fairy
Wigglytuff,Normal,Fairy
Zubat,Poison,Flying
Golbat,Poison,Flying
Oddish,Grass,Poison
Gloom,Grass,Poison
Vileplume,Grass,Poison
Paras,Bug,Grass
Parasect,Bug,Grass
Venonat,Bug,Poison
Venomoth,Bug,Poison
Diglett,Ground,
Alolan Diglett,Ground,Steel
Dugtrio,Ground,
Alolan Dugtrio,Ground,Steel
Meowth,Normal,
Alolan Meowth,Dark,
Galarian Meowth,Steel,
Persian,Normal,
Alolan Persian,Dark,
Psyduck,Water,
Golduck,Water,
Mankey,Fighting,
Primeape,Fighting,
Growlithe,Fire,
Arcanine,Fire,
Poliwag,Water,
Poliwhirl,Water,
Poliwrath,Water,Fighting
Abra,Psychic,
Kadabra,Psychic,
Alakazam,Psychic,
Mega Alakazam,Psychic,
Machop,Fighting,
Machoke,Fighting,
Machamp,Fighting,
Bellsprout,Grass,Poison
Weepinbell,Grass,Poison
Victreebel,Grass,Poison
Tentacool,Water,Poison
Tentacruel,Water,Poison
Geodude,Rock,Ground
Alolan Geodude,Rock,Electric
Graveler,Rock,Ground
Alolan Graveler,Rock,Electric
Golem,Rock,Ground
Alolan Golem,Rock,Electric
Ponyta,Fire,
Galarian Ponyta,Psychic,
Rapidash,Fire,
Galarian Rapidash,Psychic,Fairy
Slowpoke,Water,Psychic
Galarian Slowpoke,Psychic,
Slowbro,Water,Psychic
Mega Slowbro,Water,Psychic
Galarian Slowbro,Poison,Psychic
Magnemite,Electric,Steel
Magneton,Electric,Steel
Farfetch'd,Normal,Flying
Galarian Farfetch'd,Fighting,
Doduo,Normal,Flying
Dodrio,Normal,Flying
Seel,Water,
Dewgong,Water,Ice
Grimer,Poison,
Alolan Grimer,Poison,Dark
Muk,Poison,
Alolan Muk,Poison,Dark
Shellder,Water,
Cloyster,Water,Ice
Gastly,Ghost,Poison
Haunter,Ghost,Poison
Gengar,Ghost,Poison
Mega Gengar,Ghost,Poison
Onix,Rock,Ground
Drowzee,Psychic,
Hypno,Psychic,
Krabby,Water,
Kingler,Water,
Voltorb,Electric,
Electrode,Electric,
Exeggcute,Grass,Psychic
Exeggutor,Grass,Psychic
Alolan Exeggutor,Grass,Dragon
Cubone,Ground,
Marowak,Ground,
Alolan Marowak,Fire,Ghost
Hitmonlee,Fighting,
Hitmonchan,Fighting,
Lickitung,Normal,
Koffing,Poison,
Weezing,Poison,
Galarian Weezing,Poison,Fairy
Rhyhorn,Ground,Rock
Rhydon,Ground,Rock
Chansey,Normal,
Tangela,Grass,
Kangaskhan,Normal,
Mega Kangaskhan,Normal,
Horsea,Water,
Seadra,Water,
Goldeen,Water,
Seaking,Water,
Staryu,Water,
Starmie,Water,Psychic
Mr. Mime,Psychic,Fairy
Galarian Mr. Mime,Psychic,Ice
Scyther,Bug,Flying
Jynx,Ice,Psychic
Electabuzz,Electric,
Magmar,Fire,
Pinsir,Bug,
Mega Pinsir,Bug,Flying
Tauros,Normal,
Magikarp,Water,
Gyarados,Water,Flying
Mega Gyarados,Water,Dark
Lapras,Water,Ice
Ditto,Normal,
Eevee,Normal,
Partner Eevee,Normal,
Vaporeon,Water,
Jolteon,Electric,
Flareon,Fire,
Porygon,Normal,
Omanyte,Rock,Water
Omastar,Rock,Water
Kabuto,Rock,Water
Kabutops,Rock,Water
Aerodactyl,Rock,Flying
Mega Aerodactyl,Rock,Flying
Snorlax,Normal,
Articuno,Ice,Flying
Galarian Articuno,Psychic,Flying
Zapdos,Electric,Flying
Galarian Zapdos,Fighting,Flying
Moltres,Fire,Flying
Galarian Moltres,Dark,Flying
Dratini,Dragon,
Dragonair,Dragon,
Dragonite,Dragon,Flying
Mewtwo,Psychic,
Mega Mewtwo X,Psychic,Fighting
Mega Mewtwo Y,Psychic,
Mew,Psychic,
Chikorita,Grass,
Bayleef,Grass,
Meganium,Grass,
Cyndaquil,Fire,
Quilava,Fire,
Typhlosion,Fire,
Totodile,Water,
Croconaw,Water,
Feraligatr,Water,
Sentret,Normal,
Furret,Normal,
Hoothoot,Normal,Flying
Noctowl,Normal,Flying
Ledyba,Bug,Flying
Ledian,Bug,Flying
Spinarak,Bug,Poison
Ariados,Bug,Poison
Crobat,Poison,Flying
Chinchou,Water,Electric
Lanturn,Water,Electric
Pichu,Electric,
Cleffa,Fairy,
Igglybuff,Normal,Fairy
Togepi,Fairy,
Togetic,Fairy,Flying
Natu,Psychic,Flying
Xatu,Psychic,Flying
Mareep,Electric,
Flaaffy,Electric,
Ampharos,Electric,
Mega Ampharos,Electric,Dragon
Bellossom,Grass,
Marill,Water,Fairy
Azumarill,Water,Fairy
Sudowoodo,Rock,
Politoed,Water,
Hoppip,Grass,Flying
Skiploom,Grass,Flying
Jumpluff,Grass,Flying
Aipom,Normal,
Sunkern,Grass,
Sunflora,Grass,
Yanma,Bug,Flying
Wooper,Water,Ground
Quagsire,Water,Ground
Espeon,Psychic,
Umbreon,Dark,
Murkrow,Dark,Flying
Slowking,Water,Psychic
Galarian Slowking,Poison,Psychic
Misdreavus,Ghost,
Unown,Psychic,
Wobbuffet,Psychic,
Girafarig,Normal,Psychic
Pineco,Bug,
Forretress,Bug,Steel
Dunsparce,Normal,
Gligar,Ground,Flying
Steelix,Steel,Ground
Mega Steelix,Steel,Ground
Snubbull,Fairy,
Granbull,Fairy,
Qwilfish,Water,Poison
Scizor,Bug,Steel
Mega Scizor,Bug,Steel
Shuckle,Bug,Rock
Heracross,Bug,Fighting
Mega Heracross,Bug,Fighting
Sneasel,Dark,Ice
Teddiursa,Normal,
Ursaring,Normal,
Slugma,Fire,
Magcargo,Fire,Rock
Swinub,Ice,Ground
Piloswine,Ice,Ground
Corsola,Water,Rock
Galarian Corsola,Ghost,
Remoraid,Water,
Octillery,Water,
Delibird,Ice,Flying
Mantine,Water,Flying
Skarmory,Steel,Flying
Houndour,Dark,Fire
Houndoom,Dark,Fire
Mega Houndoom,Dark,Fire
Kingdra,Water,Dragon
Phanpy,Ground,
Donphan,Ground,
Porygon2,Normal,
Stantler,Normal,
Smeargle,Normal,
Tyrogue,Fighting,
Hitmontop,Fighting,
Smoochum,Ice,Psychic
Elekid,Electric,
Magby,Fire,
Miltank,Normal,
Blissey,Normal,
Raikou,Electric,
Entei,Fire,
Suicune,Water,
Larvitar,Rock,Ground
Pupitar,Rock,Ground
Tyranitar,Rock,Dark
Mega Tyranitar,Rock,Dark
Lugia,Psychic,Flying
Ho-oh,Fire,Flying
Celebi,Psychic,Grass
Treecko,Grass,
Grovyle,Grass,
Sceptile,Grass,
Mega Sceptile,Grass,Dragon
Torchic,Fire,
Combusken,Fire,Fighting
Blaziken,Fire,Fighting
Mega Blaziken,Fire,Fighting
Mudkip,Water,
Marshtomp,Water,Ground
Swampert,Water,Ground
Mega Swampert,Water,Ground
Poochyena,Dark,
Mightyena,Dark,
Zigzagoon,Normal,
Galarian Zigzagoon,Dark,Normal
Linoone,Normal,
Galarian Linoone,Dark,Normal
Wurmple,Bug,
Silcoon,Bug,
Beautifly,Bug,Flying
Cascoon,Bug,
Dustox,Bug,Poison
Lotad,Water,Grass
Lombre,Water,Grass
Ludicolo,Water,Grass
Seedot,Grass,
Nuzleaf,Grass,Dark
Shiftry,Grass,Dark
Taillow,Normal,Flying
Swellow,Normal,Flying
Wingull,Water,Flying
Pelipper,Water,Flying
Ralts,Psychic,Fairy
Kirlia,Psychic,Fairy
Gardevoir,Psychic,Fairy
Mega Gardevoir,Psychic,Fairy
Surskit,Bug,Water
Masquerain,Bug,Flying
Shroomish,Grass,
Breloom,Grass,Fighting
Slakoth,Normal,
Vigoroth,Normal,
Slaking,Normal,
Nincada,Bug,Ground
Ninjask,Bug,Flying
Shedinja,Bug,Ghost
Whismur,Normal,
Loudred,Normal,
Exploud,Normal,
Makuhita,Fighting,
Hariyama,Fighting,
Azurill,Normal,Fairy
Nosepass,Rock,
Skitty,Normal,
Delcatty,Normal,
Sableye,Dark,Ghost
Mega Sableye,Dark,Ghost
Mawile,Steel,Fairy
Mega Mawile,Steel,Fairy
Aron,Steel,Rock
Lairon,Steel,Rock
Aggron,Steel,Rock
Mega Aggron,Steel,
Meditite,Fighting,Psychic
Medicham,Fighting,Psychic
Mega Medicham,Fighting,Psychic
Electrike,Electric,
Manectric,Electric,
Mega Manectric,Electric,
Plusle,Electric,
Minun,Electric,
Volbeat,Bug,
Illumise,Bug,
Roselia,Grass,Poison
Gulpin,Poison,
Swalot,Poison,
Carvanha,Water,Dark
Sharpedo,Water,Dark
Mega Sharpedo,Water,Dark
Wailmer,Water,
Wailord,Water,
Numel,Fire,Ground
Camerupt,Fire,Ground
Mega Camerupt,Fire,Ground
Torkoal,Fire,
Spoink,Psychic,
Grumpig,Psychic,
Spinda,Normal,
Trapinch,Ground,
Vibrava,Ground,Dragon
Flygon,Ground,Dragon
Cacnea,Grass,
Cacturne,Grass,Dark
Swablu,Normal,Flying
Altaria,Dragon,Flying
Mega Altaria,Dragon,Fairy
Zangoose,Normal,
Seviper,Poison,
Lunatone,Rock,Psychic
Solrock,Rock,Psychic
Barboach,Water,Ground
Whiscash,Water,Ground
Corphish,Water,
Crawdaunt,Water,Dark
Baltoy,Ground,Psychic
Claydol,Ground,Psychic
Lileep,Rock,Grass
Cradily,Rock,Grass
Anorith,Rock,Bug
Armaldo,Rock,Bug
Feebas,Water,
Milotic,Water,
Castform,Normal,
Castform Sunny Form,Fire,
Castform Rainy Form,Water,
Castform Snowy Form,Ice,
Kecleon,Normal,
Shuppet,Ghost,
Banette,Ghost,
Mega Banette,Ghost,
Duskull,Ghost,
Dusclops,Ghost,
Tropius,Grass,Flying
Chimecho,Psychic,
Absol,Dark,
Mega Absol,Dark,
Wynaut,Psychic,
Snorunt,Ice,
Glalie,Ice,
Mega Glalie,Ice,
Spheal,Ice,Water
Sealeo,Ice,Water
Walrein,Ice,Water
Clamperl,Water,
Huntail,Water,
Gorebyss,Water,
Relicanth,Water,Rock
Luvdisc,Water,
Bagon,Dragon,
Shelgon,Dragon,
Salamence,Dragon,Flying
Mega Salamence,Dragon,Flying
Beldum,Steel,Psychic
Metang,Steel,Psychic
Metagross,Steel,Psychic
Mega Metagross,Steel,Psychic
Regirock,Rock,
Regice,Ice,
Registeel,Steel,
Latias,Dragon,Psychic
Mega Latias,Dragon,Psychic
Latios,Dragon,Psychic
Mega Latios,Dragon,Psychic
Kyogre,Water,
Primal Kyogre,Water,
Groudon,Ground,
Primal Groudon,Ground,Fire
Rayquaza,Dragon,Flying
Mega Rayquaza,Dragon,Flying
Jirachi,Steel,Psychic
Deoxys Normal Forme,Psychic,
Deoxys Attack Forme,Psychic,
Deoxys Defense Forme,Psychic,
Deoxys Speed Forme,Psychic,
Turtwig,Grass,
Grotle,Grass,
Torterra,Grass,Ground
Chimchar,Fire,
Monferno,Fire,Fighting
Infernape,Fire,Fighting
Piplup,Water,
Prinplup,Water,
Empoleon,Water,Steel
Starly,Normal,Flying
Staravia,Normal,Flying
Staraptor,Normal,Flying
Bidoof,Normal,
Bibarel,Normal,Water
Kricketot,Bug,
Kricketune,Bug,
Shinx,Electric,
Luxio,Electric,
Luxray,Electric,
Budew,Grass,Poison
Roserade,Grass,Poison
Cranidos,Rock,
Rampardos,Rock,
Shieldon,Rock,Steel
Bastiodon,Rock,Steel
Burmy,Bug,
Wormadam Plant Cloak,Bug,Grass
Wormadam Sandy Cloak,Bug,Ground
Wormadam Trash Cloak,Bug,Steel
Mothim,Bug,Flying
Combee,Bug,Flying
Vespiquen,Bug,Flying
Pachirisu,Electric,
Buizel,Water,
Floatzel,Water,
Cherubi,Grass,
Cherrim,Grass,
Shellos,Water,
Gastrodon,Water,Ground
Ambipom,Normal,
Drifloon,Ghost,Flying
Drifblim,Ghost,Flying
Buneary,Normal,
Lopunny,Normal,
Mega Lopunny,Normal,Fighting
Mismagius,Ghost,
Honchkrow,Dark,Flying
Glameow,Normal,
Purugly,Normal,
Chingling,Psychic,
Stunky,Poison,Dark
Skuntank,Poison,Dark
Bronzor,Steel,Psychic
Bronzong,Steel,Psychic
Bonsly,Rock,
Mime Jr.,Psychic,Fairy
Happiny,Normal,
Chatot,Normal,Flying
Spiritomb,Ghost,Dark
Gible,Dragon,Ground
Gabite,Dragon,Ground
Garchomp,Dragon,Ground
Mega Garchomp,Dragon,Ground
Munchlax,Normal,
Riolu,Fighting,
Lucario,Fighting,Steel
Mega Lucario,Fighting,Steel
Hippopotas,Ground,
Hippowdon,Ground,
Skorupi,Poison,Bug
Drapion,Poison,Dark
Croagunk,Poison,Fighting
Toxicroak,Poison,Fighting
Carnivine,Grass,
Finneon,Water,
Lumineon,Water,
Mantyke,Water,Flying
Snover,Grass,Ice
Abomasnow,Grass,Ice
Mega Abomasnow,Grass,Ice
Weavile,Dark,Ice
Magnezone,Electric,Steel
Lickilicky,Normal,
Rhyperior,Ground,Rock
Tangrowth,Grass,
Electivire,Electric,
Magmortar,Fire,
Togekiss,Fairy,Flying
Yanmega,Bug,Flying
Leafeon,Grass,
Glaceon,Ice,
Gliscor,Ground,Flying
Mamoswine,Ice,Ground
Porygon-Z,Normal,
Gallade,Psychic,Fighting
Mega Gallade,Psychic,Fighting
Probopass,Rock,Steel
Dusknoir,Ghost,
Froslass,Ice,Ghost
Rotom,Electric,Ghost
Heat Rotom,Electric,Fire
Wash Rotom,Electric,Water
Frost Rotom,Electric,Ice
Fan Rotom,Electric,Flying
Mow Rotom,Electric,Grass
Uxie,Psychic,
Mesprit,Psychic,
Azelf,Psychic,
Dialga,Steel,Dragon
Palkia,Water,Dragon
Heatran,Fire,Steel
Regigigas,Normal,
Giratina Altered Forme,Ghost,Dragon
Giratina Origin Forme,Ghost,Dragon
Cresselia,Psychic,
Phione,Water,
Manaphy,Water,
Darkrai,Dark,
Shaymin Land Forme,Grass,
Shaymin Sky Forme,Grass,Flying
Arceus,Normal,
Victini,Psychic,Fire
Snivy,Grass,
Servine,Grass,
Serperior,Grass,
Tepig,Fire,
Pignite,Fire,Fighting
Emboar,Fire,Fighting
Oshawott,Water,
Dewott,Water,
Samurott,Water,
Patrat,Normal,
Watchog,Normal,
Lillipup,Normal,
Herdier,Normal,
Stoutland,Normal,
Purrloin,Dark,
Liepard,Dark,
Pansage,Grass,
Simisage,Grass,
Pansear,Fire,
Simisear,Fire,
Panpour,Water,
Simipour,Water,
Munna,Psychic,
Musharna,Psychic,
Pidove,Normal,Flying
Tranquill,Normal,Flying
Unfezant,Normal,Flying
Blitzle,Electric,
Zebstrika,Electric,
Roggenrola,Rock,
Boldore,Rock,
Gigalith,Rock,
Woobat,Psychic,Flying
Swoobat,Psychic,Flying
Drilbur,Ground,
Excadrill,Ground,Steel
Audino,Normal,
Mega Audino,Normal,Fairy
Timburr,Fighting,
Gurdurr,Fighting,
Conkeldurr,Fighting,
Tympole,Water,
Palpitoad,Water,Ground
Seismitoad,Water,Ground
Throh,Fighting,
Sawk,Fighting,
Sewaddle,Bug,Grass
Swadloon,Bug,Grass
Leavanny,Bug,Grass
Venipede,Bug,Poison
Whirlipede,Bug,Poison
Scolipede,Bug,Poison
Cottonee,Grass,Fairy
Whimsicott,Grass,Fairy
Petilil,Grass,
Lilligant,Grass,
Basculin Red-Striped Form,Water,
Basculin Blue-Striped Form,Water,
Sandile,Ground,Dark
Krokorok,Ground,Dark
Krookodile,Ground,Dark
Darumaka,Fire,
Galarian Darumaka,Ice,
Darmanitan Standard Mode,Fire,
Darmanitan Zen Mode,Fire,Psychic
Galarian Darmanitan Standard Mode,Ice,
Galarian Darmanitan Zen Mode,Ice,Fire
Maractus,Grass,
Dwebble,Bug,Rock
Crustle,Bug,Rock
Scraggy,Dark,Fighting
Scrafty,Dark,Fighting
Sigilyph,Psychic,Flying
Yamask,Ghost,
Galarian Yamask,Ground,Ghost
Cofagrigus,Ghost,
Tirtouga,Water,Rock
Carracosta,Water,Rock
Archen,Rock,Flying
Archeops,Rock,Flying
Trubbish,Poison,
Garbodor,Poison,
Zorua,Dark,
Zoroark,Dark,
Minccino,Normal,
Cinccino,Normal,
Gothita,Psychic,
Gothorita,Psychic,
Gothitelle,Psychic,
Solosis,Psychic,
Duosion,Psychic,
Reuniclus,Psychic,
Ducklett,Water,Flying
Swanna,Water,Flying
Vanillite,Ice,
Vanillish,Ice,
Vanilluxe,Ice,
Deerling,Normal,Grass
Sawsbuck,Normal,Grass
Emolga,Electric,Flying
Karrablast,Bug,
Escavalier,Bug,Steel
Foongus,Grass,Poison
Amoonguss,Grass,Poison
Frillish,Water,Ghost
Jellicent,Water,Ghost
Alomomola,Water,
Joltik,Bug,Electric
Galvantula,Bug,Electric
Ferroseed,Grass,Steel
Ferrothorn,Grass,Steel
Klink,Steel,
Klang,Steel,
Klinklang,Steel,
Tynamo,Electric,
Eelektrik,Electric,
Eelektross,Electric,
Elgyem,Psychic,
Beheeyem,Psychic,
Litwick,Ghost,Fire
Lampent,Ghost,Fire
Chandelure,Ghost,Fire
Axew,Dragon,
Fraxure,Dragon,
Haxorus,Dragon,
Cubchoo,Ice,
Beartic,Ice,
Cryogonal,Ice,
Shelmet,Bug,
Accelgor,Bug,
Stunfisk,Ground,Electric
Galarian Stunfisk,Ground,Steel
Mienfoo,Fighting,
Mienshao,Fighting,
Druddigon,Dragon,
Golett,Ground,Ghost
Golurk,Ground,Ghost
Pawniard,Dark,Steel
Bisharp,Dark,Steel
Bouffalant,Normal,
Rufflet,Normal,Flying
Braviary,Normal,Flying
Vullaby,Dark,Flying
Mandibuzz,Dark,Flying
Heatmor,Fire,
Durant,Bug,Steel
Deino,Dark,Dragon
Zweilous,Dark,Dragon
Hydreigon,Dark,Dragon
Larvesta,Bug,Fire
Volcarona,Bug,Fire
Cobalion,Steel,Fighting
Terrakion,Rock,Fighting
Virizion,Grass,Fighting
Tornadus Incarnate Forme,Flying,
Tornadus Therian Forme,Flying,
Thundurus Incarnate Forme,Electric,Flying
Thundurus Therian Forme,Electric,Flying
Reshiram,Dragon,Fire
Zekrom,Dragon,Electric
Landorus Incarnate Forme,Ground,Flying
Landorus Therian Forme,Ground,Flying
Kyurem,Dragon,Ice
Black Kyurem,Dragon,Ice
White Kyurem,Dragon,Ice
Keldeo Ordinary Forme,Water,Fighting
Keldeo Resolute Forme,Water,Fighting
Meloetta Aria Forme,Normal,Psychic
Meloetta Pirouette Forme,Normal,Fighting
Genesect,Bug,Steel
Chespin,Grass,
Quilladin,Grass,
Chesnaught,Grass,Fighting
Fennekin,Fire,
Braixen,Fire,
Delphox,Fire,Psychic
Froakie,Water,
Frogadier,Water,
Greninja,Water,Dark
Ash-Greninja,Water,Dark
Bunnelby,Normal,
Diggersby,Normal,Ground
Fletchling,Normal,Flying
Fletchinder,Fire,Flying
Talonflame,Fire,Flying
Scatterbug,Bug,
Spewpa,Bug,
Vivillon,Bug,Flying
Litleo,Fire,Normal
Pyroar,Fire,Normal
Flabébé,Fairy,
Floette,Fairy,
Florges,Fairy,
Skiddo,Grass,
Gogoat,Grass,
Pancham,Fighting,
Pangoro,Fighting,Dark
Furfrou,Normal,
Espurr,Psychic,
Meowstic Male,Psychic,
Meowstic Female,Psychic,
Honedge,Steel,Ghost
Doublade,Steel,Ghost
Aegislash Blade Forme,Steel,Ghost
Aegislash Shield Forme,Steel,Ghost
Spritzee,Fairy,
Aromatisse,Fairy,
Swirlix,Fairy,
Slurpuff,Fairy,
Inkay,Dark,Psychic
Malamar,Dark,Psychic
Binacle,Rock,Water
Barbaracle,Rock,Water
Skrelp,Poison,Water
Dragalge,Poison,Dragon
Clauncher,Water,
Clawitzer,Water,
Helioptile,Electric,Normal
Heliolisk,Electric,Normal
Tyrunt,Rock,Dragon
Tyrantrum,Rock,Dragon
Amaura,Rock,Ice
Aurorus,Rock,Ice
Sylveon,Fairy,
Hawlucha,Fighting,Flying
Dedenne,Electric,Fairy
Carbink,Rock,Fairy
Goomy,Dragon,
Sliggoo,Dragon,
Goodra,Dragon,
Klefki,Steel,Fairy
Phantump,Ghost,Grass
Trevenant,Ghost,Grass
Pumpkaboo Average Size,Ghost,Grass
Pumpkaboo Small Size,Ghost,Grass
Pumpkaboo Large Size,Ghost,Grass
Pumpkaboo Super Size,Ghost,Grass
Gourgeist Average Size,Ghost,Grass
Gourgeist Small Size,Ghost,Grass
Gourgeist Large Size,Ghost,Grass
Gourgeist Super Size,Ghost,Grass
Bergmite,Ice,
Avalugg,Ice,
Noibat,Flying,Dragon
Noivern,Flying,Dragon
Xerneas,Fairy,
Yveltal,Dark,Flying
Zygarde 50% Forme,Dragon,Ground
Zygarde 10% Forme,Dragon,Ground
Zygarde Complete Forme,Dragon,Ground
Diancie,Rock,Fairy
Mega Diancie,Rock,Fairy
Hoopa Hoopa Confined,Psychic,Ghost
Hoopa Hoopa Unbound,Psychic,Dark
Volcanion,Fire,Water
Rowlet,Grass,Flying
Dartrix,Grass,Flying
Decidueye,Grass,Ghost
Litten,Fire,
Torracat,Fire,
Incineroar,Fire,Dark
Popplio,Water,
Brionne,Water,
Primarina,Water,Fairy
Pikipek,Normal,Flying
Trumbeak,Normal,Flying
Toucannon,Normal,Flying
Yungoos,Normal,
Gumshoos,Normal,
Grubbin,Bug,
Charjabug,Bug,Electric
Vikavolt,Bug,Electric
Crabrawler,Fighting,
Crabominable,Fighting,Ice
Oricorio Baile Style,Fire,Flying
Oricorio Pom-Pom Style,Electric,Flying
Oricorio Pa'u Style,Psychic,Flying
Oricorio Sensu Style,Ghost,Flying
Cutiefly,Bug,Fairy
Ribombee,Bug,Fairy
Rockruff,Rock,
Own Tempo Rockruff,Rock,
Lycanroc Midday Form,Rock,
Lycanroc Midnight Form,Rock,
Lycanroc Dusk Form,Rock,
Wishiwashi Solo Form,Water,
Wishiwashi School Form,Water,
Mareanie,Poison,Water
Toxapex,Poison,Water
Mudbray,Ground,
Mudsdale,Ground,
Dewpider,Water,Bug
Araquanid,Water,Bug
Fomantis,Grass,
Lurantis,Grass,
Morelull,Grass,Fairy
Shiinotic,Grass,Fairy
Salandit,Poison,Fire
Salazzle,Poison,Fire
Stufful,Normal,Fighting
Bewear,Normal,Fighting
Bounsweet,Grass,
Steenee,Grass,
Tsareena,Grass,
Comfey,Fairy,
Oranguru,Normal,Psychic
Passimian,Fighting,
Wimpod,Bug,Water
Golisopod,Bug,Water
Sandygast,Ghost,Ground
Palossand,Ghost,Ground
Pyukumuku,Water,
Type: Null,Normal,
Silvally,Normal,
Minior Meteor Form,Rock,Flying
Minior Core Form,Rock,Flying
Komala,Normal,
Turtonator,Fire,Dragon
Togedemaru,Electric,Steel
Mimikyu,Ghost,Fairy
Bruxish,Water,Psychic
Drampa,Normal,Dragon
Dhelmise,Ghost,Grass
Jangmo-o,Dragon,
Hakamo-o,Dragon,Fighting
Kommo-o,Dragon,Fighting
Tapu Koko,Electric,Fairy
Tapu Lele,Psychic,Fairy
Tapu Bulu,Grass,Fairy
Tapu Fini,Water,Fairy
Cosmog,Psychic,
Cosmoem,Psychic,
Solgaleo,Psychic,Steel
Lunala,Psychic,Ghost
Nihilego,Rock,Poison
Buzzwole,Bug,Fighting
Pheromosa,Bug,Fighting
Xurkitree,Electric,
Celesteela,Steel,Flying
Kartana,Grass,Steel
Guzzlord,Dark,Dragon
Necrozma,Psychic,
Dusk Mane Necrozma,Psychic,Steel
Dawn Wings Necrozma,Psychic,Ghost
Ultra Necrozma,Psychic,Dragon
Magearna,Steel,Fairy
Marshadow,Fighting,Ghost
Poipole,Poison,
Naganadel,Poison,Dragon
Stakataka,Rock,Steel
Blacephalon,Fire,Ghost
Zeraora,Electric,
Meltan,Steel,
Melmetal,Steel,
Grookey,Grass,
Thwackey,Grass,
Rillaboom,Grass,
Scorbunny,Fire,
Raboot,Fire,
Cinderace,Fire,
Sobble,Water,
Drizzile,Water,
Inteleon,Water,
Skwovet,Normal,
Greedent,Normal,
Rookidee,Flying,
Corvisquire,Flying,
Corviknight,Flying,Steel
Blipbug,Bug,
Dottler,Bug,Psychic
Orbeetle,Bug,Psychic
Nickit,Dark,
Thievul,Dark,
Gossifleur,Grass,
Eldegoss,Grass,
Wooloo,Normal,
Dubwool,Normal,
Chewtle,Water,
Drednaw,Water,Rock
Yamper,Electric,
Boltund,Electric,
Rolycoly,Rock,
Carkol,Rock,Fire
Coalossal,Rock,Fire
Applin,Grass,Dragon
Flapple,Grass,Dragon
Appletun,Grass,Dragon
Silicobra,Ground,
Sandaconda,Ground,
Cramorant,Flying,Water
Arrokuda,Water,
Barraskewda,Water,
Toxel,Electric,Poison
Toxtricity Low Key Form,Electric,Poison
Toxtricity Amped Form,Electric,Poison
Sizzlipede,Fire,Bug
Centiskorch,Fire,Bug
Clobbopus,Fighting,
Grapploct,Fighting,
Sinistea,Ghost,
Polteageist,Ghost,
Hatenna,Psychic,
Hattrem,Psychic,
Hatterene,Psychic,Fairy
Impidimp,Dark,Fairy
Morgrem,Dark,Fairy
Grimmsnarl,Dark,Fairy
Obstagoon,Dark,Normal
Perrserker,Steel,
Cursola,Ghost,
Sirfetch'd,Fighting,
Mr. Rime,Psychic,Ice
Runerigus,Ground,Ghost
Milcery,Fairy,
Alcremie,Fairy,
Falinks,Fighting,
Pincurchin,Electric,
Snom,Ice,Bug
Frosmoth,Ice,Bug
Stonjourner,Rock,
Eiscue Ice Face,Ice,
Eiscue Noice Face,Ice,
Indeedee Male,Psychic,Normal
Indeedee Female,Psychic,Normal
Morpeko Full Belly Mode,Electric,Dark
Morpeko Hangry Mode,Electric,Dark
Cufant,Steel,
Copperajah,Steel,
Dracozolt,Electric,Dragon
Arctozolt,Electric,Ice
Dracovish,Water,Dragon
Arctovish,Water,Ice
Duraludon,Steel,Dragon
Dreepy,Dragon,Ghost
Drakloak,Dragon,Ghost
Dragapult,Dragon,Ghost
Zacian Crowned Sword,Fairy,Steel
Zacian Hero of Many Battles,Fairy,
Zamazenta Crowned Shield,Fighting,Steel
Zamazenta Hero of Many Battles,Fighting,
Eternatus,Poison,Dragon
Eternatus Eternamax,Poison,Dragon
Kubfu,Fighting,
Urshifu Single Strike Style,Fighting,Dark
Urshifu Rapid Strike Style,Fighting,Water
Zarude,Dark,Grass
Regieleki,Electric,
Regidrago,Dragon,
Glastrier,Ice,
Spectrier,Ghost,
Calyrex,Psychic,Grass
Calyrex Ice Rider,Psychic,Ice
Calyrex Shadow Rider,Psychic,Ghost